,title,author,rating,pages,publisher,ISBN,genre,series,author_followers,publish_date
247,Meddling Kids,Edgar Cantero,3.56,322,Doubleday Books,0385541996,Horror,0,1042,2017-07-11
248,The Boy on the Bridge,M.R. Carey,3.97,392,Orbit,0316300330,Horror,1,4180,2017-05-02
249,Lost Boy: The True Story of Captain Hook,Christina Henry,4.18,292,Berkley Books,0399584021,Add,0,3502,2017-07-04
250,Full Wolf Moon,Lincoln Child,3.68,244,Doubleday Books,0385531427,Thriller,0,3597,2017-05-16
251,The Changeling,Victor LaValle,3.79,431,Spiegel & Grau,0812995945,Fantasy,0,1293,2017-06-13
252,The Roses of May,Dot Hutchison,4.02,289,Thomas & Mercer,1503939502,Thriller,1,2282,2017-05-23
253,A Game of Ghosts,John Connolly,4.26,464,Hodder & Stoughton,1473641861,Horror,1,5424,2017-04-06
254,The Awakening,Amanda Stevens,4.27,416,Mira,English,Fantasy,0,1999,2017-03-28
255,Dusk or Dark or Dawn or Day,Seanan McGuire,3.81,182,Tor,0765391422,Fantasy,0,10012,2017-01-10
256,What the Hell Did I Just Read,David  Wong,4.17,375,St. Martin's Press,1250040205,Horror,1,3821,2017-10-03
257,White Tears,Hari Kunzru,3.68,271,Knopf Publishing Group,0451493699,Fiction,0,345,2017-03-14
258,Strange Weather,Joe Hill,3.89,432,William Morrow,0062663119,Horror,0,18178,2017-10-24
259,The Delirium Brief,Charles Stross,4.27,368,Tor.com,0765394669,Horror,1,4655,2017-07-11
260,The Kill Society,Richard Kadrey,4.21,416,Harper Voyager,0062474146,Fantasy,1,2851,2017-06-06
261,The Grip of It,Jac Jemc,3.26,276,FSG,0374536910,Horror,0,350,2017-08-01
262,A God in the Shed,J-F Dubeau,3.5,375,Inkshares,194264535X,Horror,0,204,2017-06-13
263,Bone White,Ronald Malfi,3.9,384,Kensington Publishing Corporation(first published July 2017),149670388X,Horror,0,607,2017-07-25
264,"Talking as Fast as I Can: From Gilmore Girls to Gilmore Girls, and Everything in Between",Lauren Graham,3.97,205,Ballantine Books,0425285170,Nonfiction,0,5174,2016-11-29
265,"Talking as Fast as I Can: From Gilmore Girls to Gilmore Girls, and Everything in Between",Lauren Graham,3.97,205,Ballantine Books,0425285170,Nonfiction,0,5174,2016-11-29
266,"Talking as Fast as I Can: From Gilmore Girls to Gilmore Girls, and Everything in Between",Lauren Graham,3.97,205,Ballantine Books,0425285170,Nonfiction,0,5174,2016-11-29
267,I Can't Make This Up: Life Lessons,Kevin  Hart,4.1,378,37 Ink,1501155563,comments,0,295,2017-06-06
268,Unqualified,Anna Faris,3.45,306,Dutton Books,1101986425,Nonfiction,0,155,2017-10-24
269,We Are Never Meeting In Real Life,Samantha Irby,3.92,288,Vintage,1101912197,Nonfiction,0,2791,2017-05-30
270,This Is Just My Face: Try Not to Stare,Gabourey Sidibe,4.03,256,Houghton Mifflin Harcourt,0544786769,comment,0,231,2017-05-01
271,"The Daily Show: An Oral History as Told by Jon Stewart, the Correspondents, Staff and Guests",Chris Smith,4.13,461,Grand Central Publishing,1455565385,Nonfiction,0,29,2016-11-22
272,Theft by Finding: Diaries 1977-2002,David Sedaris,3.93,514,"Little, Brown and Company(first published October 1st 2015)",0316154725,Nonfiction,0,17180,2017-05-30
273,"Believe Me: A Memoir of Love, Death, and Jazz Chickens",Eddie Izzard,3.82,348,Blue Rider Press(first published June 6th 2017),0399175830,Nonfiction,0,313,2017-06-13
274,One Day We'll All Be Dead and None of This Will Matter,Scaachi Koul,3.77,241,Doubleday Canada,0385685351,Nonfiction,0,307,2017-03-07
275,"The Awkward Thoughts of W. Kamau Bell: Tales of a 6' 4"", African American, Heterosexual, Cisgender, Left-Leaning, Asthmatic, Black and Proud Blerd, Mama's Boy, Dad, and Stand-Up Comedian",W. Kamau Bell,3.98,340,Dutton Books,1101985879,Nonfiction,0,175,2017-05-02
276,Al Franken: Giant of the Senate,Al Franken,4.33,406,"Twelve/Hachette Book Group, Inc.(first published May 2017)",1455540412,Nonfiction,0,605,2017-05-30
277,I'm Fine...and Other Lies,Whitney Cummings,3.74,288,G.P. Putnam's Sons,0735212600,Nonfiction,0,97,2017-10-03
278,"Rhett & Link's Book of Mythicality: A Field Guide to Curiosity, Creativity, and Tomfoolery",Rhett McLaughlin,4.34,272,"Little, Brown Book Group(first published October 10th 2017)",0751570575,Add,0,615,2017-10-12
279,Revolution for Dummies: Laughing Through the Arab Spring,Bassem Youssef,4.21,304,Dey Street Books,0062446894,Add,0,217,2017-03-21
280,Vacationland: True Stories from Painful Beaches,John Hodgman,4.09,272,Viking,0735224803,Nonfiction,0,886,2017-10-24
281,Stephen Colbert's Midnight Confessions,Stephen Colbert,3.53,208,Simon  Schuster,English,Humor,0,1186,2017-09-05
