,title,author,rating,pages,publisher,ISBN,genre,series,author_followers,publish_date
154,Waiting for the Punch: Words to Live by from the WTF Podcast,Marc Maron,4.01,416,Flatiron Books,1250088887,Nonfiction,1250088887,231,2017-10-10
155,Waiting for the Punch: Words to Live by from the WTF Podcast,Marc Maron,4.01,416,Flatiron Books,1250088887,Nonfiction,1250088887,231,2017-10-10
156,Waiting for the Punch: Words to Live by from the WTF Podcast,Marc Maron,4.01,416,Flatiron Books,1250088887,Nonfiction,1250088887,231,2017-10-10
157,Waiting for the Punch: Words to Live by from the WTF Podcast,Marc Maron,4.01,416,Flatiron Books,1250088887,Nonfiction,1250088887,231,2017-10-10
158,Waiting for the Punch: Words to Live by from the WTF Podcast,Marc Maron,4.01,416,Flatiron Books,1250088887,Nonfiction,1250088887,231,2017-10-10
159,Waiting for the Punch: Words to Live by from the WTF Podcast,Marc Maron,4.01,416,Flatiron Books,1250088887,Nonfiction,1250088887,231,2017-10-10
160,Waiting for the Punch: Words to Live by from the WTF Podcast,Marc Maron,4.01,416,Flatiron Books,1250088887,Nonfiction,1250088887,231,2017-10-10
161,Waiting for the Punch: Words to Live by from the WTF Podcast,Marc Maron,4.01,416,Flatiron Books,1250088887,Nonfiction,1250088887,231,2017-10-10
162,Waiting for the Punch: Words to Live by from the WTF Podcast,Marc Maron,4.01,416,Flatiron Books,1250088887,Nonfiction,1250088887,231,2017-10-10
163,Waiting for the Punch: Words to Live by from the WTF Podcast,Marc Maron,4.01,416,Flatiron Books,1250088887,Nonfiction,1250088887,231,2017-10-10
164,Waiting for the Punch: Words to Live by from the WTF Podcast,Marc Maron,4.01,416,Flatiron Books,1250088887,Nonfiction,1250088887,231,2017-10-10
165,Waiting for the Punch: Words to Live by from the WTF Podcast,Marc Maron,4.01,416,Flatiron Books,1250088887,Nonfiction,1250088887,231,2017-10-10
166,Waiting for the Punch: Words to Live by from the WTF Podcast,Marc Maron,4.01,416,Flatiron Books,1250088887,Nonfiction,1250088887,231,2017-10-10
167,Waiting for the Punch: Words to Live by from the WTF Podcast,Marc Maron,4.01,416,Flatiron Books,1250088887,Nonfiction,1250088887,231,2017-10-10
168,Waiting for the Punch: Words to Live by from the WTF Podcast,Marc Maron,4.01,416,Flatiron Books,1250088887,Nonfiction,1250088887,231,2017-10-10
169,Waiting for the Punch: Words to Live by from the WTF Podcast,Marc Maron,4.01,416,Flatiron Books,1250088887,Nonfiction,1250088887,231,2017-10-10
170,Waiting for the Punch: Words to Live by from the WTF Podcast,Marc Maron,4.01,416,Flatiron Books,1250088887,Nonfiction,1250088887,231,2017-10-10
171,Waiting for the Punch: Words to Live by from the WTF Podcast,Marc Maron,4.01,416,Flatiron Books,1250088887,Nonfiction,1250088887,231,2017-10-10
172,Waiting for the Punch: Words to Live by from the WTF Podcast,Marc Maron,4.01,416,Flatiron Books,1250088887,Nonfiction,1250088887,231,2017-10-10
173,Waiting for the Punch: Words to Live by from the WTF Podcast,Marc Maron,4.01,416,Flatiron Books,1250088887,Nonfiction,1250088887,231,2017-10-10
174,Waiting for the Punch: Words to Live by from the WTF Podcast,Marc Maron,4.01,416,Flatiron Books,1250088887,Nonfiction,1250088887,231,2017-10-10
175,Waiting for the Punch: Words to Live by from the WTF Podcast,Marc Maron,4.01,416,Flatiron Books,1250088887,Nonfiction,1250088887,231,2017-10-10
176,Daring to Hope: Finding God's Goodness in the Broken and the Beautiful,Katie Davis Majors,4.54,209,Multnomah Books,0735290512,Nonfiction,0735290512,129,2017-10-03
177,Daring to Hope: Finding God's Goodness in the Broken and the Beautiful,Katie Davis Majors,4.54,209,Multnomah Books,0735290512,Nonfiction,0735290512,129,2017-10-03
178,Daring to Hope: Finding God's Goodness in the Broken and the Beautiful,Katie Davis Majors,4.54,209,Multnomah Books,0735290512,Nonfiction,0735290512,129,2017-10-03
179,Daring to Hope: Finding God's Goodness in the Broken and the Beautiful,Katie Davis Majors,4.54,209,Multnomah Books,0735290512,Nonfiction,0735290512,129,2017-10-03
180,Daring to Hope: Finding God's Goodness in the Broken and the Beautiful,Katie Davis Majors,4.54,209,Multnomah Books,0735290512,Nonfiction,0735290512,129,2017-10-03
181,Daring to Hope: Finding God's Goodness in the Broken and the Beautiful,Katie Davis Majors,4.54,209,Multnomah Books,0735290512,Nonfiction,0735290512,129,2017-10-03
182,Daring to Hope: Finding God's Goodness in the Broken and the Beautiful,Katie Davis Majors,4.54,209,Multnomah Books,0735290512,Nonfiction,0735290512,129,2017-10-03
183,Daring to Hope: Finding God's Goodness in the Broken and the Beautiful,Katie Davis Majors,4.54,209,Multnomah Books,0735290512,Nonfiction,0735290512,129,2017-10-03
184,Daring to Hope: Finding God's Goodness in the Broken and the Beautiful,Katie Davis Majors,4.54,209,Multnomah Books,0735290512,Nonfiction,0735290512,129,2017-10-03
185,Daring to Hope: Finding God's Goodness in the Broken and the Beautiful,Katie Davis Majors,4.54,209,Multnomah Books,0735290512,Nonfiction,0735290512,129,2017-10-03
186,Daring to Hope: Finding God's Goodness in the Broken and the Beautiful,Katie Davis Majors,4.54,209,Multnomah Books,0735290512,Nonfiction,0735290512,129,2017-10-03
187,Daring to Hope: Finding God's Goodness in the Broken and the Beautiful,Katie Davis Majors,4.54,209,Multnomah Books,0735290512,Nonfiction,0735290512,129,2017-10-03
188,Daring to Hope: Finding God's Goodness in the Broken and the Beautiful,Katie Davis Majors,4.54,209,Multnomah Books,0735290512,Nonfiction,0735290512,129,2017-10-03
